Execution Time (s),Horizontal,Vertical,Combined,Sequential
0,11194,6027,2146,0
0.1,10194,6490,4743,0
0.2,8425,5839,5362,0
0.3,7224,5456,5512,0
0.4,6427,5389,5769,0
0.5,6104,5771,6178,0
0.6,4981,6208,6629,0
0.7,3597,5910,6086,0
0.8,3238,5067,4800,0
0.9,3211,4403,4215,0
1,2950,3938,3958,0
1.1,2988,3598,3701,0
1.2,2742,3496,3461,0
1.3,2826,3264,3505,0
1.4,2690,3139,3539,0
1.5,2666,2974,3348,0
1.6,2671,2872,3343,0
1.7,2361,2794,3247,0
1.8,2341,2590,3213,0
1.9,2315,2368,3138,0
2,2019,2232,2939,0
2.1,1745,2044,2722,0
2.2,1425,1700,2271,0
2.3,1060,1363,1763,0
2.4,718,1096,1158,0
2.5,460,855,760,0
2.6,247,633,448,0
2.7,144,420,320,0
2.8,110,288,216,0
2.9,54,230,195,0
3,26,150,138,0
3.1,44,123,118,0
3.2,49,123,72,0
3.3,36,93,57,0
3.4,30,67,59,0
3.5,30,51,56,0
3.6,26,45,65,0
3.7,38,54,45,0
3.8,38,58,27,0
3.9,18,48,25,0
4,40,25,24,0
4.1,26,22,23,0
4.2,29,23,44,0
4.3,28,13,13,0
4.4,25,40,38,0
4.5,22,16,25,0
4.6,8,37,13,0
4.7,9,23,77,0
4.8,23,10,6,0
4.9,56,83,11,0
5,8,9,82,0
5.1,11,64,14,0
5.2,10,51,68,0
5.3,39,13,35,0
5.4,43,105,47,14500
5.5,155,183,131,10500
5.6,4,17,1,0
5.7,1,0,1,0
5.8,1,0,0,0
5.9,0,0,0,0
6.2,0,0,0,0
